RNGSource;RNGTarget;RNGDistance;
146;756;3,8729833;
146;3667;3,7416574;
146;3946;4,2426407;
146;3996;3,6055513;
147;1344;3,6055513;
147;1989;4,1231056;
147;3307;4,0000000;
148;1477;4,0000000;
148;1688;3,4641016;
148;2170;3,6055513;
148;3537;2,6457513;
149;504;4,4721360;
149;942;3,8729833;
149;1512;4,4721360;
149;2200;4,2426407;
149;3715;3,4641016;
149;3814;4,1231056;
150;903;4,0000000;
150;2037;4,2426407;
150;2742;4,1231056;
150;3449;4,0000000;
151;660;3,7416574;
151;821;3,6055513;
151;2265;4,0000000;
151;2569;3,6055513;
151;2940;3,4641016;
151;3248;4,0000000;
151;3550;4,1231056;
151;3842;3,8729833;
152;291;3,7416574;
152;1056;3,8729833;
152;3156;3,6055513;
152;3479;4,0000000;
153;1814;2,4494897;
153;2101;3,7416574;
153;2399;3,8729833;
153;2634;3,7416574;
153;3354;3,3166248;
153;3722;3,7416574;
154;804;4,3588989;
154;891;3,3166248;
154;1517;4,6904158;
154;2387;4,1231056;
154;3909;4,0000000;
155;1869;4,6904158;
155;1889;3,7416574;
155;3530;4,6904158;
156;716;4,5825757;
156;2176;5,0990195;
156;3161;3,1622777;
157;1235;4,1231056;
157;3552;4,2426407;
158;1978;4,0000000;
158;2156;3,3166248;
158;3686;4,1231056;
159;941;3,7416574;
159;1030;4,0000000;
159;1377;3,7416574;
159;2790;4,2426407;
159;3680;3,7416574;
160;816;3,7416574;
160;1037;3,6055513;
160;1233;4,0000000;
160;1415;4,7958315;
160;3314;4,2426407;
161;957;3,7416574;
161;1010;3,3166248;
161;2467;3,1622777;
162;180;3,4641016;
162;1053;3,4641016;
163;831;3,4641016;
163;1001;4,7958315;
163;2347;4,1231056;
163;3393;3,8729833;
163;3936;3,3166248;
164;1905;4,6904158;
164;2448;3,4641016;
164;2733;4,6904158;
165;940;3,7416574;
165;2942;4,7958315;
165;3202;4,0000000;
165;3433;4,3588989;
166;167;4,8989795;
166;1409;3,3166248;
166;2026;4,5825757;
167;667;4,3588989;
167;1658;4,1231056;
167;2452;4,4721360;
168;425;3,8729833;
168;647;4,0000000;
168;1631;4,3588989;
168;3794;4,6904158;
168;3861;3,7416574;
169;2223;3,7416574;
169;2689;3,4641016;
169;3077;3,8729833;
169;3768;4,0000000;
169;3935;3,3166248;
170;934;4,3588989;
170;1350;4,4721360;
170;2906;4,4721360;
171;911;3,4641016;
171;1373;4,3588989;
171;2799;3,4641016;
171;3301;3,7416574;
171;3982;4,1231056;
172;343;3,1622777;
172;1959;4,5825757;
172;2008;2,8284271;
172;2950;2,4494897;
173;408;3,8729833;
173;615;3,4641016;
173;622;4,0000000;
173;1472;3,8729833;
174;1611;2,0000000;
174;1884;3,4641016;
174;2074;4,5825757;
174;3956;3,6055513;
175;1077;4,0000000;
175;1380;4,5825757;
175;2449;4,4721360;
